----------------------------------------
Experiment
----------------------------------------
Algorithm:	MR.Q
Env:		Atari-Alien-v5
Seed:		0
----------------------------------------
Environment hyperparameters
----------------------------------------
AtariHyperparameters(history=4, training_reward_clipping=False, max_ep_frames=108000, max_noops=0, action_repeat=4, terminal_lives=False, image_size=84, pool_frames=True, grayscale=True, sticky_actions=True, eval_eps=0.001)
Obs shape:		(1, 84, 84)
Action dim:		18
Discrete actions:	True
Pixel observations:	True
----------------------------------------
Agent hyperparameters
----------------------------------------
Hyperparameters(batch_size=256, buffer_size=1000000, discount=0.99, target_update_freq=250, buffer_size_before_training=10000, exploration_noise=0.2, target_policy_noise=0.2, noise_clip=0.3, dyn_weight=1.0, reward_weight=0.1, done_weight=0.1, prioritized=True, alpha=0.4, min_priority=1.0, enc_horizon=5, Q_horizon=3, zs_dim=512, zsa_dim=512, za_dim=256, enc_hdim=512, enc_activ='elu', enc_lr=0.0001, enc_wd=0.0001, pixel_augs=True, value_hdim=512, value_activ='elu', value_lr=0.0003, value_wd=0.0001, value_grad_clip=20.0, policy_hdim=512, policy_activ='relu', policy_lr=0.0003, policy_wd=0.0001, gumbel_tau=10.0, pre_activ_weight=1e-05, num_bins=65, lower=-10.0, upper=10.0)
----------------------------------------
----------------------------------------
Evaluation at 0 time steps
Average total reward over 10 episodes: 183.000
Total time passed: 0.19 minutes
----------------------------------------
Total T: 574, Episode Num: 2, Episode T: 574, Reward: 180.000
Total T: 1359, Episode Num: 3, Episode T: 785, Reward: 240.000
Total T: 1981, Episode Num: 4, Episode T: 622, Reward: 180.000
Total T: 2566, Episode Num: 5, Episode T: 585, Reward: 120.000
Total T: 3162, Episode Num: 6, Episode T: 596, Reward: 140.000
Total T: 3882, Episode Num: 7, Episode T: 720, Reward: 230.000
Total T: 4529, Episode Num: 8, Episode T: 647, Reward: 140.000
Total T: 5127, Episode Num: 9, Episode T: 598, Reward: 130.000
Total T: 5814, Episode Num: 10, Episode T: 687, Reward: 130.000
Total T: 6528, Episode Num: 11, Episode T: 714, Reward: 180.000
Total T: 7163, Episode Num: 12, Episode T: 635, Reward: 170.000
Total T: 7827, Episode Num: 13, Episode T: 664, Reward: 120.000
Total T: 8541, Episode Num: 14, Episode T: 714, Reward: 210.000
Total T: 9049, Episode Num: 15, Episode T: 508, Reward: 160.000
Total T: 10162, Episode Num: 16, Episode T: 1113, Reward: 410.000
Total T: 10613, Episode Num: 17, Episode T: 451, Reward: 20.000
Total T: 11255, Episode Num: 18, Episode T: 642, Reward: 140.000
Total T: 11894, Episode Num: 19, Episode T: 639, Reward: 180.000
Total T: 12571, Episode Num: 20, Episode T: 677, Reward: 140.000
Total T: 13253, Episode Num: 21, Episode T: 682, Reward: 140.000
Total T: 13653, Episode Num: 22, Episode T: 400, Reward: 120.000
Total T: 14123, Episode Num: 23, Episode T: 470, Reward: 100.000
Total T: 14585, Episode Num: 24, Episode T: 462, Reward: 140.000
Total T: 15138, Episode Num: 25, Episode T: 553, Reward: 170.000
